,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT(ms),realSubtlety,numberObjects,trajectoryFilename
72,False,0,1,11.0,30,0.9742550439356906,8000.000000000001,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/29.pkl
73,True,0,1,11.0,30,0.9926370462774382,7616.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/15.pkl
74,False,0,1,3.3,60,0.9416277357321754,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/114.pkl
75,False,0,2,50.0,5,0.04439085159458733,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/100.pkl
76,False,0,1,3.3,60,0.9202448687141033,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/128.pkl
77,False,0,1,50.0,5,0.14582240910815866,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/129.pkl
78,False,3,0,3.3,60,0.07171303526162313,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/101.pkl
79,False,0,1,1.83,90,0.7662319903902992,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/115.pkl
80,True,0,1,50.0,5,0.9919943748183051,4216.666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/14.pkl
81,True,0,1,50.0,5,0.9917754463186056,1816.6666666666667,5,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/28.pkl
82,False,0,1,0.31,150,0.0163143931613007,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/10.pkl
83,False,0,1,1.83,90,0.17850156270084708,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/38.pkl
84,False,7,3,50.0,5,0.08263412943227612,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/139.pkl
85,False,1,3,0.31,150,0.12783432053539223,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/111.pkl
86,False,2,0,0.92,120,0.19263415690878688,8000.000000000001,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/105.pkl
87,False,0,4,0.31,150,0.022013218109979204,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/104.pkl
88,False,8,3,50.0,5,0.03368162162458092,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/110.pkl
89,False,7,5,11.0,30,0.13595298298136646,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/138.pkl
90,False,3,2,3.3,60,0.5148963770603119,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/39.pkl
91,False,0,1,0.92,120,0.2956411164783135,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/11.pkl
92,False,3,2,3.3,60,0.6061212171628826,8000.000000000001,180,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/13.pkl
93,False,0,1,3.3,60,0.36313494232449284,8000.000000000001,30,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/106.pkl
94,True,0,1,50.0,5,0.9935287873493776,4216.666666666667,5,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/112.pkl
95,True,0,1,11.0,30,0.9916492453038148,6416.666666666667,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/113.pkl
96,False,4,6,3.3,60,0.04295067572236891,8000.000000000001,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/107.pkl
97,False,3,2,0.31,150,0.123308744488381,8000.000000000001,150,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/12.pkl
98,False,3,1,50.0,5,0.13671043435315544,8000.000000000001,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/23.pkl
99,False,0,1,3.3,60,0.861941047289349,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/37.pkl
100,False,3,2,11.0,30,0.19039218919789427,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/122.pkl
101,False,0,1,1.83,90,0.012285198323184691,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/136.pkl
102,False,5,2,1.83,90,0.008252817199696805,8000.000000000001,120,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/137.pkl
103,False,1,2,1.83,90,0.14466893285427554,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/123.pkl
104,False,0,1,11.0,30,0.5476160485292431,8000.000000000001,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/36.pkl
105,False,8,3,11.0,30,0.09411666187022887,8000.000000000001,30,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/22.pkl
106,False,2,1,0.31,150,0.21002673290633264,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/34.pkl
107,False,4,3,11.0,30,0.2770680729153117,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/20.pkl
108,False,6,0,3.3,60,0.01588623207878127,8000.000000000001,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/135.pkl
109,False,0,1,3.3,60,0.8114162377275576,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/121.pkl
110,False,0,1,3.3,60,0.023982236440227,8000.000000000001,120,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/109.pkl
111,False,3,8,50.0,5,0.003299946876615798,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/108.pkl
112,True,0,1,11.0,30,0.9916224707408414,5216.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/120.pkl
113,False,0,1,11.0,30,0.9739221213429148,8000.000000000001,30,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/134.pkl
114,False,2,7,50.0,5,0.003867910129376911,8000.000000000001,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/21.pkl
115,True,0,1,50.0,5,0.9909786989767195,6016.666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/35.pkl
116,False,0,1,1.83,90,0.656604473043978,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/31.pkl
117,False,1,8,11.0,30,0.06927102921696093,8000.000000000001,120,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/25.pkl
118,False,0,1,0.92,120,0.038147938742075546,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/19.pkl
119,False,1,2,0.92,120,0.21648005938309298,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/118.pkl
120,False,4,3,3.3,60,0.05073510212103836,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/130.pkl
121,False,0,1,11.0,30,0.05950817033157333,8000.000000000001,150,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/124.pkl
122,False,2,1,3.3,60,0.05792424402043954,8000.000000000001,180,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/125.pkl
123,False,5,4,1.83,90,0.04346363765313102,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/131.pkl
124,True,0,1,50.0,5,0.9933895283878963,3216.666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/119.pkl
125,False,5,4,11.0,30,0.08149084426918063,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/18.pkl
126,False,4,3,0.31,150,0.0025619594639820133,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/24.pkl
127,False,0,1,3.3,60,0.9543862652212517,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/30.pkl
128,False,6,8,1.83,90,0.02030933039401454,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/26.pkl
129,False,0,2,0.31,150,0.1400363465314876,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/32.pkl
130,False,0,1,11.0,30,0.9472745214778399,8000.000000000001,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/127.pkl
131,True,0,1,50.0,5,0.994552067506257,4816.666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/133.pkl
132,False,5,3,50.0,5,0.6308434888371295,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/132.pkl
133,True,0,1,50.0,5,0.990120783484351,6616.666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/126.pkl
134,False,0,2,0.92,120,0.23709111050972656,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/33.pkl
135,False,1,5,1.83,90,0.020008592898144023,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/27.pkl
136,True,0,1,50.0,5,0.9900146279135809,3416.666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/182.pkl
137,False,3,2,3.3,60,0.13060624810907542,8000.000000000001,150,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/68.pkl
138,True,0,1,50.0,5,0.995275498182167,3616.666666666667,5,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/196.pkl
139,False,0,2,3.3,60,0.07258448032731747,8000.000000000001,150,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/40.pkl
140,False,4,2,50.0,5,0.10045891184017916,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/54.pkl
141,False,1,2,0.31,150,0.03224303194300498,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/6.pkl
142,True,0,1,11.0,30,0.9927040623236946,4016.666666666667,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/141.pkl
143,True,0,1,11.0,30,0.9986522311890508,5216.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/155.pkl
144,False,3,1,11.0,30,0.013719623854024948,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/83.pkl
145,False,2,3,1.83,90,0.4152876492093996,8000.000000000001,180,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/97.pkl
146,True,0,1,11.0,30,0.9939623473031866,7016.666666666667,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/169.pkl
147,False,4,0,11.0,30,0.10090402277690481,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/223.pkl
148,False,2,7,0.31,150,0.013999051938025487,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/222.pkl
149,False,0,2,3.3,60,0.21345806519190993,8000.000000000001,150,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/96.pkl
