,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT,realSubtlety,numberObjects,trajectoryFilename
138,False,0,1,50.0,5,0.8826815238527468,8000.000000000001,5,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/196.pkl
139,False,0,2,3.3,60,0.06761613659865967,8000.000000000001,150,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/40.pkl
140,False,6,1,11.0,30,0.02974969224123138,8000.000000000001,150,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/54.pkl
141,False,1,0,0.92,120,0.1672131801479184,8000.000000000001,180,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/6.pkl
142,False,0,1,11.0,30,0.5755340649966327,8000.000000000001,30,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/141.pkl
143,False,0,1,11.0,30,0.6086827987672764,8000.000000000001,30,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/155.pkl
144,False,8,6,1.83,90,0.02480085644397315,8000.000000000001,180,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/83.pkl
145,False,2,3,0.92,120,0.22756724670684408,8000.000000000001,180,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/97.pkl
146,False,0,1,50.0,5,0.8494783127744296,8000.000000000001,30,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/169.pkl
147,False,2,3,3.3,60,0.037074247542011086,8000.000000000001,180,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/223.pkl
148,False,3,7,11.0,30,0.024242767227275003,8000.000000000001,150,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/222.pkl
149,False,0,1,0.92,120,0.19191785971006647,8000.000000000001,150,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/96.pkl
150,False,0,1,50.0,5,0.9593340653535678,8000.000000000001,5,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/168.pkl
151,False,4,5,50.0,5,0.03418662973999301,8000.000000000001,150,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/82.pkl
152,False,0,1,50.0,5,0.9062397329385578,8000.000000000001,5,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/154.pkl
153,False,0,1,50.0,5,0.8472937983936532,8000.000000000001,5,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/140.pkl
154,False,5,8,3.3,60,0.022871077014593805,8000.000000000001,180,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/55.pkl
155,False,0,1,50.0,5,0.7631247348568843,8000.000000000001,5,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/7.pkl
156,False,3,2,11.0,30,0.09200651479253466,8000.000000000001,180,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/41.pkl
157,False,2,3,3.3,60,0.10121833580276754,8000.000000000001,180,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/69.pkl
158,False,0,1,11.0,30,0.7034239604001108,8000.000000000001,30,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/197.pkl
159,False,0,1,11.0,30,0.5739598164170493,8000.000000000001,30,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/183.pkl
160,False,5,3,0.31,150,0.023645799805247752,8000.000000000001,180,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/195.pkl
161,False,1,2,1.83,90,0.30656170037132136,8000.000000000001,180,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/181.pkl
162,False,2,1,0.92,120,0.20899527945277516,8000.000000000001,150,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/5.pkl
163,False,0,1,50.0,5,0.5338079670183513,8000.000000000001,30,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/57.pkl
164,False,1,2,50.0,5,0.0732002122975295,8000.000000000001,30,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/43.pkl
165,False,0,1,3.3,60,0.10719965543966385,8000.000000000001,60,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/156.pkl
166,False,0,1,3.3,60,0.9054188141746553,8000.000000000001,60,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/142.pkl
167,False,1,3,11.0,30,0.11848884705954132,8000.000000000001,90,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/94.pkl
168,False,7,5,50.0,5,0.03938704576319991,8000.000000000001,90,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/80.pkl
169,False,7,3,11.0,30,0.08899607533318947,8000.000000000001,90,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/220.pkl
170,False,2,1,1.83,90,0.08028949909322333,8000.000000000001,150,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/208.pkl
171,False,2,1,11.0,30,0.2373337501145977,8000.000000000001,180,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/209.pkl
172,False,0,1,50.0,5,0.03162864049620589,8000.000000000001,120,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/221.pkl
173,False,8,0,1.83,90,0.032968794238660934,8000.000000000001,120,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/81.pkl
174,False,3,2,1.83,90,0.13912326627134067,8000.000000000001,120,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/95.pkl
175,False,2,1,0.31,150,0.14343759833521683,8000.000000000001,90,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/143.pkl
176,False,0,3,1.83,90,0.041108902156616285,8000.000000000001,90,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/157.pkl
177,False,0,1,11.0,30,0.684222860091382,8000.000000000001,5,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/42.pkl
178,False,0,1,3.3,60,0.41621595018012303,8000.000000000001,120,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/4.pkl
179,False,0,1,50.0,5,0.956702617834869,8000.000000000001,5,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/56.pkl
180,False,1,3,1.83,90,0.09515227627189558,8000.000000000001,150,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/180.pkl
181,False,3,8,11.0,30,0.04620170233536603,8000.000000000001,150,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/194.pkl
182,False,4,2,11.0,30,0.024119113691406676,8000.000000000001,90,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/52.pkl
183,False,0,1,50.0,5,0.8202527339044539,8000.000000000001,5,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/0.pkl
184,False,1,3,11.0,30,0.03186440108764073,8000.000000000001,120,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/46.pkl
